name,seconds,status
3_3_260820_1,31.456,ok
3_1_107543_1,27.452,ok
3_1_516660_1,34.200,ok
3_1_171444_1,30.472,ok
3_1_524291_1,38.578,ok
3_1_317044_1,33.601,ok
3_1_117288_3,33.029,ok
3_1_760455_3,36.689,ok
3_1_439052_1,36.652,ok
3_1_469300_2,40.710,ok
3_1_567567_2,38.418,ok
3_3_662216_1,32.981,ok
3_3_97825_1,28.677,ok
3_1_441484_2,33.708,ok
3_1_782987_1,33.455,ok
3_1_933907_1,41.285,ok
3_1_80359_1,30.245,ok
3_1_428868_2,37.513,ok
3_1_662796_1,41.015,ok
3_1_871832_1,35.231,ok
3_1_31496_1,29.217,ok
3_1_538412_3,36.525,ok
3_1_796835_2,37.754,ok
3_1_905324_3,42.282,ok
3_1_377196_2,35.723,ok
3_1_797667_1,35.334,ok
3_1_35075_1,28.748,ok
3_1_304556_1,30.853,ok
3_3_149769_2,29.237,ok
3_1_406700_2,35.661,ok
3_1_192584_1,30.808,ok
3_3_274505_1,30.143,ok
3_1_226175_1,33.729,ok
3_1_323175_1,31.295,ok
3_1_720575_1,35.629,ok
3_1_236763_2,33.427,ok
3_1_132020_1,29.798,ok
3_1_702351_1,33.342,ok
3_1_644799_1,40.287,ok
3_1_478467_2,36.436,ok
3_1_614075_2,38.655,ok
3_1_172019_1,33.043,ok
3_1_217892_1,30.959,ok
3_1_692259_1,35.821,ok
3_1_805315_1,37.533,ok
3_1_592379_1,40.241,ok
3_3_455700_1,37.043,ok
3_1_547575_2,38.700,ok
3_1_542700_2,40.386,ok
3_1_688076_2,39.024,ok
3_1_181804_1,35.432,ok
3_1_108471_1,31.566,ok
3_1_936091_1,41.882,ok
3_1_795800_1,34.598,ok
3_1_680884_1,39.836,ok
3_1_120204_1,34.936,ok
3_1_64823_1,31.558,ok
3_1_325983_1,36.907,ok
3_3_806284_1,36.916,ok
3_1_817452_1,41.824,ok
3_1_946979_1,35.834,ok
3_1_679112_1,34.085,ok
3_1_25160_1,28.884,ok
3_1_817516_2,40.577,ok
3_1_45227_1,30.917,ok
3_1_205556_1,31.771,ok
3_1_383732_1,31.844,ok
3_1_780300_1,38.459,ok
3_1_528447_1,33.790,ok
3_3_783380_1,32.678,ok
3_3_816696_1,32.637,ok
3_1_662796_4,37.971,ok
3_1_894348_3,42.308,ok
3_3_874321_1,33.575,ok
3_1_746956_1,42.513,ok
3_1_230175_1,33.452,ok
3_1_482727_1,32.129,ok
3_1_83820_3,31.893,ok
3_3_262601_1,31.984,ok
3_1_797203_1,39.533,ok
3_1_730732_1,37.182,ok
3_3_701244_1,32.371,ok
3_3_104253_1,29.034,ok
3_3_936117_1,35.467,ok
3_1_410267_1,38.174,ok
3_1_24843_1,32.478,ok
3_3_574857_1,30.864,ok
3_1_387731_1,35.476,ok
3_1_36579_1,30.252,ok
3_1_125083_1,32.571,ok
3_1_565068_1,38.973,ok
3_1_656731_1,36.924,ok
3_1_138355_1,30.899,ok
3_1_117175_1,29.700,ok
3_1_761019_1,41.394,ok
3_1_89544_1,29.597,ok
3_1_190291_3,34.850,ok
3_3_181192_1,33.060,ok
3_1_863379_1,35.575,ok
3_1_143468_1,32.731,ok
3_1_356631_2,34.691,ok
3_3_600925_1,34.279,ok
3_1_532652_1,38.515,ok
3_1_856596_2,38.599,ok
3_1_508248_2,36.703,ok
3_1_965796_1,35.631,ok
3_1_933107_3,41.881,ok
3_3_114433_1,29.964,ok
3_3_405405_1,33.288,ok
3_1_466796_1,37.324,ok
3_1_189283_1,30.653,ok
3_1_390104_1,31.747,ok
3_3_815925_1,35.260,ok
3_3_109384_1,29.670,ok
3_1_892863_2,41.883,ok
3_1_358280_1,35.009,ok
3_1_703404_2,38.744,ok
3_1_254280_1,32.490,ok
3_1_466627_1,38.889,ok
3_1_32780_1,30.284,ok
3_1_851175_3,36.835,ok
3_1_649415_1,38.143,ok
3_1_383075_1,32.389,ok
3_1_237175_1,35.234,ok
3_1_797796_1,38.252,ok
3_1_343980_3,37.059,ok
3_1_392196_1,37.088,ok
3_1_27559_1,27.815,ok
3_1_249879_1,31.029,ok
3_1_462051_1,37.548,ok
3_1_186151_1,33.794,ok
3_1_996008_1,42.549,ok
3_1_138580_1,33.372,ok
3_1_557179_1,40.692,ok
3_1_116116_1,35.474,ok
3_1_743372_1,34.484,ok
3_1_344763_1,35.806,ok
3_1_297332_1,37.014,ok
3_1_387059_1,36.515,ok
3_1_89240_1,31.028,ok
3_3_598044_1,31.651,ok
3_1_251451_1,35.493,ok
3_1_959928_1,45.111,ok
3_1_853335_2,40.589,ok
3_1_195615_2,31.778,ok
3_1_925444_2,41.625,ok
3_1_977075_1,40.171,ok
3_1_278343_2,36.534,ok
3_1_87843_1,29.717,ok
3_1_411060_1,34.394,ok
3_1_439803_1,32.715,ok
3_1_203987_1,32.996,ok
3_3_567849_1,31.883,ok
3_3_653844_1,31.215,ok
3_3_376300_1,30.163,ok
3_1_412776_3,36.288,ok
3_1_244068_1,34.106,ok
3_1_406700_5,37.055,ok
3_1_884199_1,40.249,ok
3_3_268380_1,30.463,ok
3_3_376329_1,30.566,ok
3_3_902356_1,32.803,ok
3_1_132328_2,33.159,ok
3_1_680504_1,35.109,ok
3_1_197127_1,33.997,ok
3_3_46965_1,28.505,ok
3_1_112887_1,32.493,ok
3_3_219961_2,32.678,ok
3_1_442200_1,31.554,ok
3_1_959175_1,42.417,ok
3_1_981215_1,35.464,ok
3_1_737124_1,34.942,ok
3_1_271660_2,34.202,ok
3_1_677484_9,36.799,ok
3_3_370548_2,33.708,ok
3_3_670761_3,37.486,ok
3_1_837620_1,35.445,ok
3_1_561295_1,40.122,ok
3_3_670761_1,38.601,ok
3_1_767839_1,39.692,ok
3_1_948300_2,39.380,ok
3_3_333617_1,32.821,ok
3_1_420812_2,39.812,ok
3_1_466627_2,41.580,ok
3_1_331240_2,37.126,ok
3_1_623807_1,38.000,ok
3_1_516059_1,39.574,ok
3_1_374220_1,36.092,ok
3_1_371640_1,32.346,ok
3_1_536787_1,38.198,ok
3_1_643700_1,37.513,ok
3_1_463091_1,32.968,ok
3_1_599427_1,35.284,ok
3_1_888300_3,40.540,ok
3_3_80565_1,29.140,ok
3_1_304535_3,36.766,ok
3_1_946067_1,35.780,ok
3_1_391287_1,32.365,ok
3_1_236708_1,30.002,ok
3_1_655215_2,39.062,ok
3_1_936684_4,47.214,ok
3_1_866700_5,40.695,ok
3_1_252563_1,33.949,ok
3_1_408807_1,36.017,ok
3_3_336604_1,30.628,ok
3_1_447535_1,31.941,ok
3_3_271377_1,31.061,ok
3_1_703080_1,33.698,ok
3_1_58604_2,32.558,ok
3_1_280904_4,34.837,ok
3_1_42423_4,30.878,ok
3_1_126635_1,32.557,ok
3_1_504175_1,32.355,ok
3_3_240149_1,34.124,ok
3_1_161700_2,32.934,ok
3_3_50172_1,28.104,ok
3_1_664563_1,32.656,ok
3_1_592328_1,37.475,ok
3_1_597915_1,33.554,ok
3_1_329427_1,34.919,ok
3_1_378695_1,33.777,ok
3_1_196911_1,30.894,ok
3_1_432012_1,31.396,ok
3_1_662796_2,40.340,ok
3_3_587412_2,37.050,ok
3_1_853335_1,41.763,ok
3_1_30251_1,32.709,ok
3_1_355291_1,33.436,ok
3_1_190291_1,36.740,ok
3_1_470372_1,31.891,ok
3_1_117720_1,32.478,ok
3_3_157300_2,31.178,ok
3_1_311116_1,31.892,ok
3_1_484300_1,34.066,ok
3_1_400040_1,31.546,ok
3_1_672300_4,38.448,ok
3_1_456435_2,37.095,ok
3_1_116424_1,37.468,ok
3_3_787077_1,32.711,ok
3_1_273239_1,31.866,ok
3_1_455455_1,37.987,ok
3_1_393835_1,35.785,ok
3_1_401464_1,31.432,ok
3_1_213716_1,31.876,ok
3_1_547128_1,34.936,ok
3_1_337635_1,31.793,ok
3_3_895700_1,38.203,ok
3_1_293891_1,35.016,ok
3_1_119660_3,32.025,ok
3_1_936091_2,40.844,ok
3_1_110424_1,32.006,ok
3_3_866133_1,39.380,ok
3_1_230520_1,31.488,ok
3_1_780300_2,38.931,ok
3_1_903756_2,39.337,ok
3_1_136971_1,34.749,ok
3_1_564300_3,39.949,ok
3_1_24215_1,28.791,ok
3_1_42316_1,30.545,ok
3_1_780332_1,43.643,ok
3_1_916300_1,41.115,ok
3_1_334235_1,33.155,ok
3_1_342171_1,31.995,ok
3_1_931736_1,35.208,ok
3_1_225228_1,30.386,ok
3_3_392472_1,31.589,ok
3_1_589784_1,32.657,ok
3_1_865755_1,41.070,ok
3_3_564980_1,31.802,ok
3_1_105791_3,33.780,ok
3_1_808623_1,37.630,ok
3_1_735727_1,34.549,ok
3_1_193320_1,33.415,ok
3_1_959175_2,41.020,ok
3_1_399916_3,34.499,ok
3_1_491724_2,35.788,ok
3_1_648324_3,37.187,ok
3_1_311467_2,35.361,ok
3_1_110700_4,32.636,ok
3_1_542700_3,39.602,ok
3_3_418605_1,33.833,ok
3_1_628963_1,33.475,ok
3_1_410700_2,37.964,ok
3_1_960204_2,41.750,ok
3_1_369800_2,37.919,ok
3_3_658476_1,32.407,ok
3_1_975819_1,37.905,ok
3_1_551980_3,37.164,ok
3_1_186731_1,33.590,ok
3_1_828996_1,34.471,ok
3_1_603288_2,44.959,ok
3_1_283015_1,33.336,ok
3_1_399735_1,34.133,ok
3_1_732108_1,40.395,ok
3_1_29535_1,29.045,ok
3_1_933107_2,40.892,ok
3_1_912968_1,38.989,ok
3_3_582169_2,40.303,ok
3_1_314847_3,37.434,ok
3_1_588735_1,40.061,ok
